title,location,description,price per year,number of bedrooms,number of bathrooms,number of toilets
2 BEDROOM TERRACE FOR RENT,Old Ikoyi Old Ikoyi Ikoyi Lagos,Premium 2 Bedroom Apartment,"8,000,000",2.0,2.0,3.0
4 BEDROOM HOUSE FOR RENT,Banana Island Road Ikoyi Lagos,Lovely 4 Bedroom Semi Detached House + Bq,"15,000,000",4.0,4.0,5.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Well Built 3 Bedroom Apartment,"13,000,000",3.0,3.0,0.0
4 BEDROOM BLOCK OF FLATS For Rent,"Channel's Tv Road, Wisdom Estate. Opic Lagos Extension Ogun",Brand New 3 Bedroom Serviced Apartments With Maid's Room,"1,800,000",4.0,4.0,5.0
3 BEDROOM HOUSE FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Neatly Built Waterfront 3 Bedroom Maisonette,"16,000,000",3.0,3.0,4.0
COMMERCIAL PROPERTY FOR RENT,Victoria Island Lagos,Commercial Property In Victoria Island,"40,000,000",,,
2 BEDROOM BLOCK OF FLATS FOR RENT,Lekki Phase 1 Lekki Lagos,Furnished 2 Bedroom Flat With Brand New Giant Generator,"5,000,000",2.0,2.0,3.0
COMMERCIAL PROPERTY FOR RENT,Lekki Phase 1 Lekki Lagos,Commercial/restaurant Space With 2 Rooms Bq,"25,000,000",,,
3 BEDROOM BLOCK OF FLATS FOR RENT,Off Admiralty Lekki Phase 1 Lekki Lagos,Beautiful 3 Bedroom Apartment With A Bq To Let,"6,000,000",3.0,3.0,4.0
4 BEDROOM DUPLEX FOR RENT,Ikota Lekki Lagos,Fully Furnished 4 Bedroom Semi Detached Duplex In A Well Maintained Estate,"5,000,000",4.0,4.0,5.0
4 BEDROOM BLOCK OF FLATS FOR RENT,Lekki Phase 1 Lekki Lagos,Spacious 4 Bedroom Apartment With Swimming Pool,"8,000,000",4.0,4.0,5.0
1 BEDROOM BLOCK OF FLATS FOR RENT,Ikota Lekki Lagos,32 Units Of Luxury 1 Bedroom Apartment With Spacious Compound,"50,000,000",1.0,1.0,2.0
4 BEDROOM TERRACE FOR RENT,Parkview Estate Ikoyi Lagos,Spacious 4 Bedroom Terraced Duplex Plus Bq,"10,000,000",4.0,4.0,5.0
3 BEDROOM TERRACE For Sale,"Off Adenike Olotun Street, Ikota Gra, Lekki, Lagos Ikota Lekki Lagos",Tastefully Furnished 3 Bedroom Terrace Duplex In A Shared Compound At Pentagon Court Phase 5,"30,000,000",,,
3 BEDROOM BLOCK OF FLATS FOR RENT,Off Admiralty Lekki Phase 1 Lekki Lagos,Beautiful 3 Bedroom Apartment To Let With A Spacious Bq,"6,000,000",3.0,3.0,4.0
4 BEDROOM TERRACE FOR RENT,Lekki Phase 1 Lekki Lagos,Serviced 4 Bedroom Terraced Duplex In A Gated Estate,"12,000,000",4.0,4.0,5.0
4 BEDROOM TERRACE FOR RENT,Ikoyi Lagos,2 Units Of Luxury 4 Bedroom Terraced Duplex + 2 Rooms Servant's Quarters,"15,000,000",4.0,4.0,5.0
SHOP FOR RENT,Lekki Phase 1 Lekki Lagos,Commercial Mall/shop Space By The Left Wing With 4 Shops,"12,000,000",,,
1 BEDROOM MINI FLAT FOR RENT,Lekki Lagos,12 Vacant Units Of Serviced Mini Flat Apartments With Ample Parking Space,"1,600,000",1.0,1.0,1.0
3 BEDROOM PENTHOUSE FOR RENT,Ikoyi Lagos,1 Unit Of Spacious 3 Bedroom Penthouse + 2 Rooms Servant's Quarters,"18,000,000",3.0,4.0,3.0
4 BEDROOM DUPLEX FOR RENT,Osapa London Lekki Lagos,Well Spacious 4 Bedroom Semi Detached Duplex + 2 Bedroom Bq,"10,000,000",4.0,4.0,5.0
4 BEDROOM DUPLEX FOR RENT,Oniru Victoria Island Lagos,Luxury 12 Units Of 4 Bedroom Terraced Duplex + Pool,"144,000,000",4.0,4.0,5.0
COMMERCIAL PROPERTY FOR RENT,Victoria Island Lagos,Commercial Space In Victoria Island,"100,000/sqm",,,
2 BEDROOM BLOCK OF FLATS FOR RENT,Ikota Lekki Lagos,32 Units Of Luxury 2 Bedroom Apartment With Kids Play Area,"60,000,000",2.0,2.0,3.0
SHOP FOR RENT,Lekki Phase 1 Lekki Lagos,Mall/shop Space For Commercial Purpose,"5,500,000",,,1.0
3 BEDROOM BLOCK OF FLATS For Rent,Opic Lagos Extension Ogun,Tastefully Built 12 Units Of 3 Bedroom Apartments + Maid Room,"1,800,000",4.0,4.0,5.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Parkview Estate Ikoyi Lagos,Spacious 3 Bedroom Apartment Plus Bq,"7,000,000",3.0,3.0,4.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Parkview Estate Ikoyi Lagos,Spacious 3 Bedroom Apartment Plus Bq,"6,500,000",3.0,3.0,4.0
4 BEDROOM DUPLEX FOR RENT,Ikota Lekki Lagos,Fully Furnished 4 Bedroom Fully Detached Duplex In A Well Maintained Estate,"6,000,000",4.0,4.0,5.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Dawaki Modern Market Dawaki Abuja Phase 3 Abuja,Exquisite 3 Bedrooms Apartment Dawaki,"3,000,000",3.0,3.0,4.0
3 BEDROOM DUPLEX FOR RENT,Off Adeola Odeku Victoria Island Victoria Island Lagos,3 Bedroom House,"42,000",3.0,3.0,4.0
2 BEDROOM FLAT & APARTMENT FOR RENT,Osapa Lekki Lagos,2bedroom Apartment,"2,500,000",2.0,2.0,3.0
2 BEDROOM BLOCK OF FLATS FOR RENT,"Off, Awolowo Road By Keffi, Ikoyi Lagos Ikoyi South West Ikoyi Lagos","This Is A Tastefully Finished 2 Bedroom Flat Built To Unique Architectural Masterpiece And Caliber, With Modern Day Top End Luxury Finishing For Your Enjoyment.","3,000,000",2.0,2.0,3.0
2 BEDROOM COMMERCIAL PROPERTY FOR RENT,"Off, Awolowo Road By Keffi Ikoyi South West Ikoyi Lagos","This Is A Tastefully Finished 2 Bedroom Flat Built To Unique Architectural Masterpiece And Caliber, With Modern Day Top End Luxury Finishing For Your Enjoyment.","3,000,000",2.0,2.0,3.0
4 BEDROOM DUPLEX FOR RENT,Conservation Road Off Lekki Epe Express Way Lekki Phase 2 Lekki Lagos,Lovely 4bedroom Semi Detached Duplex,"4,500,000",4.0,4.0,5.0
4 BEDROOM DUPLEX For Sale,Osapa Lekki Lagos,*n190m Osapa Lekki Detached Luxurious Duplex*,"50,000,000",2.0,,
2 BEDROOM FLAT & APARTMENT FOR RENT,Osapa Lekki Lagos,2bedroom Apartment,"2,500,000",2.0,2.0,3.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Greenland Estate Ogombo Rd Ajah Ajah Lagos,Luxury,"1,500,000",2.0,2.0,3.0
1 BEDROOM EVENT HALL FOR RENT,Saka Tinubu Street Victoria Island Victoria Island Lagos,Beautiful Corporate Event Space,"50,000/day",1.0,2.0,2.0
3 BEDROOM TERRACE FOR RENT,"Yaba Tech Staff Quarters Gra, Fola Agoro, Akoka, Unilag... Yaba Yaba Lagos",Tastefully Finished 3 Bedroom Terrace Duplex,"5,000,000",3.0,3.0,4.0
1 BEDROOM FLAT & APARTMENT FOR RENT,Orchid Road Lekki Expressway Lekki Lagos,Cozy 1 Bedroom Apartment,"2,000,000",1.0,1.0,1.0
FLAT & APARTMENT FOR RENT,At New Bodija Ibadan Ibadan Oyo,👷🏼‍♀️👷🏿house For Rent In Ibadan 4bedroom Buplex Newly Built,"2,500,000",,,
3 BEDROOM FLAT & APARTMENT FOR RENT,Lekki Lekki Lagos,Exquisite 3 Bedroom Penthouse With Elevator,"11,000,000",3.0,3.0,4.0
3 BEDROOM BLOCK OF FLATS FOR RENT,"In A Gated And Serene Close Of Gowon Estate, Egbeda, Lagos Gowon Estate Ipaja Lagos",Tastefully Finished 3 Bedroom,"1,800,000",3.0,3.0,4.0
OFFICE FOR RENT,42 Saka Tinubu Street Victoria Island Victoria Island Lagos,Beautiful Office Space,"300,000/month",,,2.0
EVENT HALL FOR RENT,42 Saka Tinubu Street Saka Tinubu Victoria Island Lagos,Beautifully Furnished Event Hall,"350,000/day",,,2.0
OFFICE FOR RENT,42 Saka Tinubu Street Victoria Island Victoria Island Lagos,Private Office Space In A Co Working Community Space,"300,000/month",,,2.0
3 BEDROOM FLAT & APARTMENT For Rent,Banana Island Estate Banana Island Ikoyi Lagos,Exquisite Waterfront 3 Bedroom Apartment + Bq+tennis Etc,"22,000,000",4.0,4.0,5.0
4 BEDROOM FLAT & APARTMENT FOR RENT,Ologolo Lekki Lagos,Newly Built 4 Bedroom Maisonette,"5,000,000",4.0,4.0,5.0
7 BEDROOM HOUSE FOR RENT,Parkview Estate Ikoyi Lagos,Massive 7 Bedroom Fully Detached House For Lease,"20,000,000",7.0,7.0,7.0
OFFICE FOR RENT,42 Saka Tinubu Street Victoria Island Victoria Island Lagos,Tastefully Furnished Office Space,"400,000",,,2.0
FLAT & APARTMENT FOR RENT,Off Bourdillon Ikoyi Lagos,Newly Built 2 Bedroom Apartment For Lease Off Bourdillon,"12,000,000",,,3.0
2 BEDROOM BLOCK OF FLATS FOR RENT,"Gowon Estate Opposite Road 122, Near Safe Gate Micro Finance Bank Gowon Estate Ipaja Lagos","2 Bedroom Flat, Ground Floor","1,600,000",2.0,2.0,3.0
4 BEDROOM TERRACE FOR RENT,Orchid Road Lekki Expressway Lekki Lagos,Newly Built 4 Bedroom Terrace With Bq For Lease Off Orchid,"4,500,000",4.0,4.0,4.0
FLAT & APARTMENT FOR RENT,"At Basorun Estate, General Gass, Akobo Ibadan. Akobo Ibadan Oyo",5 Bedroom Duplex,"3,500,000",0.0,0.0,0.0
4 BEDROOM DUPLEX FOR RENT,"Casogan Estate, Osapa London, Lekki, Lagos Osapa London Lekki Lagos",Four(4) Bedroom Fully Detached Duplex With Bq,"7,000,000",4.0,5.0,5.0
2 BEDROOM BLOCK OF FLATS FOR RENT,"Palmgrove, Yaba, Lagos Palmgroove Shomolu Lagos",Exquisitely Finished Two(2) Bedroom Flat,"1,600,000",2.0,3.0,3.0
4 BEDROOM BLOCK OF FLATS For Rent,"Channel's Tv Road, Wisdom Estate. Opic Lagos Extension Ogun","Beautifully Built Luxury 3 Bedroom Apartments With Maid's Room, Inverter & 275kva Generator","2,500,000",,,
3 BEDROOM FLAT & APARTMENT FOR RENT,Oniru Oniru Victoria Island Lagos,Fully Serviced 3 Bedroom Apartment,"8,000,000",3.0,3.0,4.0
FLAT & APARTMENT FOR RENT,"At New Bodija, Ibadan. Ibadan Ibadan Oyo","👷🏼‍♀️👷🏿house Rent Newly Built Three Bedroom Duplex And Four Bedroom Duplex At New Bodija, Ibadan. * 3 In A Compound. *","1,700,000",,,
4 BEDROOM DUPLEX FOR RENT,"Pinnock Beach Estate, Jade Close, Lekki Osapa Lekki Lagos",Detched Duplex With Service Quaters,"10,000,000",4.0,4.0,5.0
LAND FOR RENT,Wellness City Estate Arepo Phase 2 Arepo Lagos Extension Ogun,Plots Of Land Currently Selling At Emerald Wellness City Estate Arepo Phase 2,"25,000,000",,,
4 BEDROOM FLAT & APARTMENT FOR RENT,Admiralty Road Lekki Phase 1 Lekki Lagos,Luxury 4 Bedroom Maisonette,"10,000,000",4.0,4.0,5.0
2 BEDROOM OFFICE FOR RENT,Saka Tinubu Street Victoria Island Victoria Island Lagos,Tastefully Furnished Co Work Space,"5,000/day",2.0,2.0,2.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Oniru Victoria Island Lagos,Fully Serviced 3 Bedroom Apartment,"6,000,000",3.0,3.0,4.0
EVENT HALL FOR RENT,Saka Tinubu Street Victoria Island Victoria Island Lagos,Corporate Event Hall,"50,000/day",,,2.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Onitana Road Ikoyi Ikoyi Lagos,Newly Built 3 Bedroom Apartment For Lease At Old Ikoyi,"15,000,000",3.0,4.0,4.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Secure Estate At Orchid Road Lekki Lafiaji Lekki Lagos,Fully Serviced 3 Bedrooms Apartment,"3,700,000",3.0,3.0,4.0
FLAT & APARTMENT FOR RENT,Carlton Gate Ibadan Ibadan Oyo,4 Bedroom Duplex,"3,000,000",,,
3 BEDROOM BLOCK OF FLATS For Rent,Off Adeola Odeku Street Adeola Odeku Victoria Island Lagos,Luxury 3 Bedroom Apartment +bq+gym+pool,"1,800,000",4.0,4.0,5.0
4 BEDROOM DUPLEX FOR RENT,Chevron Drive Lekki Lagos,Well Furnished 4 Bedroom Semi Detached Duplex,"10,000,000",4.0,5.0,5.0
3 BEDROOM DUPLEX FOR RENT,Chevron Toll Gate Lekki Lagos,Beautiful 3 Bedroom Semi Detached Duplex,"4,000,000",3.0,4.0,5.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Thomas Estate Ajah Lagos,Beautiful And Spacious 2 Bedroom Flat,"2,200,000",2.0,2.0,3.0
4 BEDROOM TERRACE FOR RENT,Lekki Lagos Ikota Lekki Lagos,4 Bedroom Terrace Duplex,"4,000,000",4.0,4.0,4.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Oniru Oniru Victoria Island Lagos,Newly Built 2 Units Of Two Bedroom Flat With One Room Bq,"5,500,000",2.0,,
4 BEDROOM TERRACE FOR RENT,Lekki Lagos Ikate Elegushi Lekki Lagos,4 Bedroom Terrace Duplex,"7,500,000",4.0,4.0,4.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Located In Owerri Owerri Owerri Imo,"Virgin 2 Bedrooms Flat All Ensuite, Guest Toilet, Kitchen Cabinet, Store, Wardrobes And Car Park Space Located In A Nice Environment","600,000",2.0,2.0,3.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Located In Owerri Owerri Owerri Imo,"Virgin 3 Bedrooms Flat All Ensuite, Guest Toilet And Car Park Space Located In A Nice Environment","700,000",3.0,3.0,4.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Off Mobil Road Ilaje Ajah Lagos,Ultra Modern 2bedroom Flat Ensuit With Swimming Pool,"2,000,000",2.0,2.0,3.0
6 BEDROOM DUPLEX For Sale,Pinnock Beach Estate Osapa Lekki Lagos,Fantastic 6 Bedrooms Detached Duplex With Swimming Pool And Bq,"1,800,000",4.0,4.0,5.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Located In Owerri Owerri Owerri Imo,"Fairly Used 3 Bedrooms Flat All Ensuite, Guest Toilet And Car Park Space With All The Properties To Be Sold Separately Located In A Nice Environment","800,000",3.0,3.0,4.0
1 BEDROOM BUNGALOW FOR RENT,"Scc Junction, Ushafa Expansion Scheme Ushafa Bwari Abuja Phase 4 Abuja",One Bedroom Flat Located At Scc Junction Ushafa,"500,000",1.0,2.0,2.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Located In Owerri Owerri Owerri Imo,"Fairly Used 2 Bedrooms Flat All Ensuite, Guest Toilet, Federal Light, Large Car Park Space Of Over 20 Cars And A Security House Located In A Nice Environment","840,000",2.0,2.0,3.0
4 BEDROOM DUPLEX FOR RENT,Secure Estate Chevron Lekki Lagos Chevron Drive Lekki Lagos,Brand New 4 Bedroom Duplex With Bq,"145,000,000",4.0,4.0,4.0
3 BEDROOM BLOCK OF FLATS FOR RENT,"Fara Park 2 Estate, Sangotedo, Eti Osa, Lagos. Sangotedo Ajah Lagos",3 Bedrooms Flat Apartment,"1,800,000",3.0,3.0,4.0
4 BEDROOM DUPLEX FOR RENT,Ikota Lekki Lagos,4 Bedroom Terrace Duplex,"4,000,000",4.0,4.0,5.0
1 BEDROOM MINI FLAT FOR RENT,Lekki Phase 1 Lekki Lagos,Room And Parlour Apartment,"2,500,000",1.0,1.0,2.0
2 BEDROOM DUPLEX FOR RENT,Victoria Island Victoria Island Lagos,"Luxury 2 Bedroom Apartment With Swimming Pool, Gym And A Rooftop Lounge.","8,000,000",2.0,2.0,3.0
3 BEDROOM DUPLEX FOR RENT,Victoria Island Victoria Island Lagos,Luxury 3 Bedroom Apartment,"10,000,000",3.0,3.0,4.0
3 BEDROOM TERRACE FOR RENT,Lekki Phase 1 Lekki Lagos,Self Service 3 Bedroom Apartment,"5,000,000",3.0,3.0,4.0
4 BEDROOM FLAT & APARTMENT FOR RENT,Old Ikoyi Old Ikoyi Ikoyi Lagos,Ultra Luxury 4 Bedroom Apartment+2 Rooms Bq+pool+gym+squash,"125,000",4.0,4.0,5.0
3 BEDROOM FLAT & APARTMENT For Rent,Oregun Ikeja Lagos,3 Bedroom Flats Plus Bq,"1,800,000",4.0,4.0,5.0
1 BEDROOM SELF CONTAIN FOR RENT,Ago Palace Isolo Lagos,Standard Room Selfcon For Rent,"500,000",1.0,1.0,1.0
3 BEDROOM DUPLEX FOR RENT,Chevron Tollgate Lekki Lagos,Strategically Located 3 Bedroom Semi Detached Duplex,"4,500,000",3.0,3.0,4.0
4 BEDROOM DUPLEX FOR RENT,Westend Estate Ikota Lekki County Ikota Lekki Lagos,Lovely 4bedroom Semi Detached Duplex With Bq,"5,000,000",4.0,4.0,5.0
1 BEDROOM SHARED APARTMENT FOR RENT,Orchid Along Lekki Expressway Lekki Lagos,Guest Room In Shared Apartment To Share Kitchen,"750,000",1.0,,
1 BEDROOM SHARED APARTMENT FOR RENT,Royal Pine Estate Orchid Along Lekki Expressway Lekki Lagos,Brand New Shared Selfcon Room To Share Kitchen,"850,000",1.0,1.0,1.0
1 BEDROOM SHARED APARTMENT FOR RENT,Royal Pine Estate Orchid Along Lekki Expressway Lekki Lagos,Brand New Shared Selfcon Room To Share Kitchen,"750,000",1.0,,
1 BEDROOM SELF CONTAIN FOR RENT,Off Hakeem Dickson Street Elf Bustop Lekki Phase 1 Lekki Lagos,Spacious And Serviced Selfcon,"1,700,000",1.0,,
4 BEDROOM FLAT & APARTMENT FOR RENT,Ikoyi Ikoyi Lagos,Luxurious Furnished 4 Bedroom Maisonette,"14,000,000",4.0,,
3 BEDROOM TERRACE FOR RENT,Parkview Estate Ikoyi Lagos,Nicely Finished & Serviced 3 Bedroom Terrace House With Boy's Quarter,"10,000,000",3.0,3.0,4.0
4 BEDROOM FLAT & APARTMENT For Sale,Banana Island Ikoyi Lagos,Exquisite 4 Bedroom Apartment With Bq In Banana Island,"2,500,000",,,
4 BEDROOM DUPLEX FOR RENT,Ikate Elegushi Lekki Lagos,Tastefully Finished 4bedrooms Semi Detached Duplex House With Bq In Ikate Lekki Lagos,"8,000,000",4.0,4.0,5.0
4 BEDROOM DUPLEX FOR RENT,Ikota Lekki Lagos,4bedrooms Terrace Duplex House With Bq For Rent In Ikota Lekki Lagos,"6,500,000",4.0,4.0,5.0
3 BEDROOM DUPLEX FOR RENT,Abijo Ajah Lagos,Tastefully Finished Semi Detached Duplex,2,3.0,3.0,4.0
3 BEDROOM DUPLEX FOR RENT,Orchid Lekki Phase 2 Lekki Lagos,Beautifully Finished 3 Bedroom Semi Detached Duplex,"4,500,000",3.0,3.0,4.0
4 BEDROOM TERRACE FOR RENT,Osapa Lekki Lagos,Tastefully Finished 4bedrooms Terrace Duplex House,"4,000,000",4.0,4.0,5.0
4 BEDROOM DUPLEX FOR RENT,Oniru Victoria Island Lagos,4 Bedroom Semi Detached Duplex,"10,000,000",4.0,4.0,5.0
2 BEDROOM FLAT & APARTMENT FOR RENT,Ologolo Lekki Lagos,Newly Build 2 Bedroom Apartment Rent,"2,800,000",2.0,2.0,3.0
5 BEDROOM DUPLEX FOR RENT,Victoria Garden City Lekki Lagos,5 Bedroom Detached,"6,000,000",5.0,5.0,6.0
4 BEDROOM DUPLEX FOR RENT,Orchid Lekki Phase 2 Lekki Lagos,4 Bedroom Terrace Duplex,"4,500,000",4.0,4.0,5.0
5 BEDROOM DUPLEX FOR RENT,Ikate Elegushi Lekki Lagos,Spacious 5 Bedroom Semi Detached Duplex,"6,000,000",5.0,5.0,6.0
4 BEDROOM DUPLEX FOR RENT,Sangotedo Ajah Lagos,Well Finished Four (4) Bedroom Semi Detached House In A Mini Estate,"2,000,000",4.0,4.0,5.0
4 BEDROOM DUPLEX For Rent,Old Ikoyi Lagos,Luxury 4 Bedroom Semi Detached Terrace House+bq+pool,"7,000,000",3.0,3.0,4.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Ikate Lekki Lagos,Brand New & Fully Serviced Three (3) Bedroom Flat At Ikate,"3,800,000",3.0,3.0,4.0
4 BEDROOM TERRACE FOR RENT,Ikate Elegushi Lekki Lagos,4 Bedroom With 1bq,"7,500,000",4.0,4.0,5.0
4 BEDROOM DUPLEX FOR RENT,Ikate Elegushi Lekki Lagos,Tastefully Finished 4bedrooms Semi Detached Duplex House With Bq In Ikate Lekki Lagos,"8,000,000",4.0,4.0,5.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Lekki Phase 1 Lekki Lagos,Tastefully Finished And Spacious 3bedrooms Apartment With Swimmingpool Gym +kids Play Area In Lekki Phase 1,"6,500,000",3.0,3.0,4.0
3 BEDROOM TERRACE FOR RENT,Thomas Estate Ajah Lagos,3 Bedroom Terrace Duplex ( 2 Unit Available),"3,200,000",3.0,3.0,4.0
4 BEDROOM TERRACE FOR RENT,Idado Lekki Lagos,Strategically Located 4 Bedroom Terrace Duplex,"6,500,000",4.0,4.0,5.0
4 BEDROOM TERRACE FOR RENT,Lekki Lagos,Well Finished 4 Bedroom Terraced Duplex,"3,500,000",4.0,4.0,5.0
5 BEDROOM OFFICE FOR RENT,Lekki Phase 1 Lekki Lagos,5 Bedroom Fully Detached Duplex,"12,000,000",5.0,5.0,6.0
3 BEDROOM DUPLEX FOR RENT,Orchid Lekki Phase 2 Lekki Lagos,3 Bedroom Terrace Duplex,"4,500,000",3.0,3.0,4.0
4 BEDROOM DUPLEX For Sale,Magodo Phase 2 Ikeja Lagos,2 Units Of 4 Bedrooms Fully Detached Duplex,"42,000,000",3.0,4.0,4.0
4 BEDROOM TERRACE FOR RENT,Lekki Phase 1 Lekki Lagos,Luxury 4 Bedroom Terrace Duplex,"12,000,000",4.0,4.0,5.0
2 BEDROOM FLAT & APARTMENT FOR RENT,Ajah Lagos,2 Bedroom Apartment ( Upstairs Available),"900,000",2.0,2.0,3.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Chevron Drive Lekki Lagos,Newly Built En Suite 2bedroom Apartment,"3,000,000",2.0,2.0,3.0
LAND FOR RENT,Oniru Victoria Island Lagos,"Prime, Well Located And Dry Land Measuring 2,000 Square Meters","20,000,000",,,
4 BEDROOM DUPLEX FOR RENT,Orchid Road Lekki Lagos,4bedroom Semi Detached Duplex,"4,000,000",4.0,,
4 BEDROOM DUPLEX FOR RENT,Tulip Estate Chevron Drive Lekki Lagos Chevron Drive Lekki Lagos,Tastefully Finished 4bedrooms Semi Detached Duplex House With Bq In Chevron Lekki Lagos,"4,500,000",4.0,4.0,4.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Ikoyi Lagos,Luxuriously Finished And Fully Serviced 3 Bedroom Flat With Bq,"15,000,000",3.0,3.0,4.0
4 BEDROOM TERRACE FOR RENT,Jakande Lekki Lagos,Tastefully Finished 4bedrooms Terrace Duplex House For Rent In Lekki,"5,000,000",4.0,4.0,5.0
3 BEDROOM TOWNHOUSE FOR RENT,Lekki Phase 1 Lekki Lagos,Tastefully Finished 3bedrooms Maisonette Duplex House In Lekki Phase 1 Lagos,"5,500,000",3.0,3.0,4.0
5 BEDROOM DUPLEX FOR RENT,Banana Island Ikoyi Lagos,Luxurious 5 Bedroom Detached Home,"150,000",5.0,5.0,6.0
3 BEDROOM DUPLEX FOR RENT,Lekki Phase 1 Lekki Lagos,Tastefully Finished 3bedrooms Maisonette Duplex Houses,"6,500,000",3.0,3.0,4.0
3 BEDROOM BLOCK OF FLATS For Rent,Off Adeola Odeku Street Adeola Odeku Victoria Island Lagos,Luxury 3 Bedroom Apartment +bq+gym+pool,"1,800,000",3.0,4.0,5.0
3 BEDROOM DUPLEX FOR RENT,Orchid Lekki Phase 2 Lekki Lagos,3 Bedroom Semi Detached Duplex,"4,500,000",3.0,3.0,4.0
4 BEDROOM TERRACE FOR RENT,Lekki Phase 1 Lekki Lagos,Luxury 4 Bedroom Terrace Duplex,"12,000,000",4.0,4.0,5.0
4 BEDROOM DUPLEX FOR RENT,Chevron Drive Lekki Lagos,Strategically Located 4 Bedroom Semi Detached Duplex With Bq,"5,000,000",4.0,4.0,5.0
3 BEDROOM TERRACE FOR RENT,Orchid Lekki Phase 2 Lekki Lagos,Tastefully Finished 3 Bedroom Terrace Duplex,"4,500,000",3.0,3.0,4.0
2 BEDROOM FLAT & APARTMENT FOR RENT,Off Freedom Way Lekki Phase 1 Lekki Lagos,Tastefully Furnished 2 Bedroom Maisonette,"8,000,000",2.0,2.0,3.0
1 BEDROOM MINI FLAT FOR RENT,Ajah Lagos,Mini Flat To Rent,"700,000",1.0,1.0,2.0
4 BEDROOM DUPLEX FOR RENT,Victoria Garden City Lekki Lagos,Luxury 4 Bedroom Detached Duplex,"250,000,000",4.0,4.0,5.0
4 BEDROOM TERRACE FOR RENT,Osapa Lekki Lagos,Tastefully Finished 4bedrooms Terrace Duplex House With Bq In Osapa London Lekki,"7,000,000",4.0,4.0,5.0
2 BEDROOM FLAT & APARTMENT FOR RENT,Sangotedo Lagos,6 Unit Of 2 Bedroom Apartment,"2,500,000",2.0,2.0,2.0
LAND For Sale,Buy 6plots And Get 1plot Free Promo Ends In Some Days La Campaigne Tropicana Ibeju Lekki Lagos,Invest In Daisyland,"400,000,000",5.0,5.0,6.0
5 BEDROOM DUPLEX FOR RENT,Ikate Elegushi Lekki Lagos,5 Bedroom Duplex With Bq For Rent,"20,000,000",5.0,5.0,6.0
4 BEDROOM TERRACE FOR RENT,Ikota Lekki Lagos,Tastefully Finished Smart 4 Bedroom Terraced Duplex,"5,000,000",4.0,4.0,5.0
4 BEDROOM DUPLEX FOR RENT,Ajah Ajah Lagos,Spacious 4 Bedroom Semi Detached Duplex With Bq For Sale!!,"95,000,000",4.0,4.0,5.0
4 BEDROOM DUPLEX FOR RENT,Orchid Road Lekki Phase 2 Lekki Lagos,4 Bedroom Fully Detached Duplex With Bq,"6,500,000",4.0,4.0,5.0
5 BEDROOM TERRACE FOR RENT,Chevron Drive Lekki Lagos,Spacious 5 Bedroom Terrace Duplex,"4,000,000",5.0,5.0,6.0
4 BEDROOM DUPLEX FOR RENT,Orchid Lekki Phase 2 Lekki Lagos,4 Bedroom Semi Detached Duplex,"6,500,000",4.0,4.0,5.0
4 BEDROOM HOUSE FOR RENT,Victoria Island Lagos,Massive 4 Bedroom Semi Detached Duplex,"18,500,000",4.0,4.0,5.0
4 BEDROOM TERRACE FOR RENT,Ogombo Road Ajah Lagos,4 Bedroom Terrace Duplex,"2,500,000",4.0,4.0,5.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Chevron Tollgate Lekki Lagos,Well Structured & Fully Serviced 2 Bedroom Flat,"2,800,000",2.0,2.0,3.0
4 BEDROOM DUPLEX FOR RENT,Osapa Estate Osapa London Lekki Lagos,4 Bedroom Semi Detached,"6,500,000",4.0,4.0,5.0
2 BEDROOM FLAT & APARTMENT FOR RENT,Thomas Estate Ajah Lagos,Lovely 2 Bedroom Apartment,"1,800,000",2.0,2.0,1.0
1 BEDROOM MINI FLAT For Rent,65 Agungi Ajiran Road Agungi Lekki Lagos,Monthly Rental 1 Bedroom Flat,"15,000,000",3.0,3.0,4.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Chevron Tollgate Lekki Lagos,Well Finished & Fully Serviced 3 Bedroom Flat With A Bq,"3,500,000",3.0,3.0,4.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Sangotedo Lagos,3 Unit Of 3 Bedroom Apartment,"3,000,000",3.0,3.0,4.0
